EarthquakeId,EarthquakeTime,EarthquakeLatitude,EarthquakeLongitude,EarthquakeDepth,EarthquakeMagnitude,EarthquakeMagnitudeType,Network,DataProvider,StationCode,StationID,StationDescription,StationLatitude,StationLongitude,StationElevation,SamplingRate,BackAzimuth,EpicentralDistance,HypocentralDistance,SourceFile,RuptureDistance,RuptureDistanceVar,JoynerBooreDistance,JoynerBooreDistanceVar,GC2_rx,GC2_ry,GC2_ry0,GC2_U,GC2_T,H1Lowpass,H1Highpass,H2Lowpass,H2Highpass,DURATION5-75,DURATION5-95,PGA,PGV,SA(0.010),SA(0.020),SA(0.030),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),SORTED_DURATION
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,BK,NCEDC,BRIB,BK.BRIB.HN,"Briones Reserve, Orinda, CA, USA",37.91932,-122.15269,237.00,100,76.13,8.66,16.63,BK.BRIB.01.HNZ__20191015T053312Z__20191015T054042Z.mseed,15.35,0.34,7.73,0.43,nan,nan,nan,nan,nan,37.50000,0.07932,37.50000,0.07932,nan,nan,4.64774480E+00,2.15994900E+00,4.68909020E+00,4.75083680E+00,4.86995100E+00,5.08162510E+00,7.29780230E+00,7.11068640E+00,1.37953560E+01,9.65165210E+00,4.09579830E+00,4.10542920E+00,4.58075860E+00,6.15930970E+00,3.28163560E+00,2.01574290E+00,7.01795430E-01,3.74931360E-01,1.85101070E-01,1.10901960E-01,7.39320980E-02,3.70652420E-02,2.36040880E-02,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE,NCEDC,58360,CE.58360.HN,Walnut Creek - Civic & Broadway,37.90360,-122.06030,40.00,200,4.34,3.83,14.53,CE.58360..HNE__20191015T053312Z__20191015T054042Z.mseed,13.43,0.29,2.95,0.38,nan,nan,nan,nan,nan,75.00000,0.13248,75.00000,0.13248,nan,nan,6.96956490E+00,2.38396890E+00,7.00754940E+00,7.12804250E+00,7.38863080E+00,8.24781100E+00,1.62087980E+01,1.23706510E+01,1.57454930E+01,2.00491290E+01,1.28775100E+01,8.67601780E+00,4.80545680E+00,3.79391900E+00,2.37459910E+00,1.65961890E+00,5.74678960E-01,3.14368540E-01,1.42319910E-01,8.82869080E-02,6.03906630E-02,3.14581760E-02,2.03731920E-02,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE,NCEDC,58369,CE.58369.HN,Walnut Creek - Walnut & Cheyenne,37.91470,-122.01680,52.00,200,306.21,4.38,14.69,CE.58369..HNZ__20191015T053312Z__20191015T054042Z.mseed,13.57,0.29,3.49,0.40,nan,nan,nan,nan,nan,39.41090,0.14768,39.41090,0.14768,nan,nan,5.79962930E+00,2.91380820E+00,5.84314850E+00,5.91374400E+00,6.08848470E+00,7.22185060E+00,1.11251890E+01,1.77662750E+01,1.56577710E+01,2.93872470E+01,1.50525290E+01,6.63506400E+00,4.45871690E+00,4.80441880E+00,4.17490870E+00,2.54565360E+00,1.03531400E+00,5.21136170E-01,1.98744710E-01,1.15020990E-01,7.90223540E-02,3.94723090E-02,2.48643060E-02,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE,NCEDC,58442,CE.58442.HN,Moraga - Rheem & Moraga,37.85630,-122.12410,286.00,200,33.04,10.82,17.90,CE.58442..HNN__20191015T053312Z__20191015T054042Z.mseed,16.62,0.36,9.88,0.43,nan,nan,nan,nan,nan,46.00938,0.23066,46.00938,0.23066,nan,nan,1.92230710E+00,5.39170500E-01,1.92890050E+00,1.94524060E+00,1.97927590E+00,2.18946070E+00,2.92638300E+00,3.17365730E+00,5.92159020E+00,5.10170420E+00,4.22872880E+00,2.99362790E+00,1.73263540E+00,8.71883020E-01,6.40076250E-01,5.20402980E-01,2.00216460E-01,8.58703570E-02,3.21961740E-02,1.77216010E-02,1.31491190E-02,6.79302730E-03,4.60279080E-03,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,IRIS-DMC,C010,NC.C010.HN,Sunflower Ct Concord,37.94400,-122.00993,51.00,200,260.86,4.19,14.63,NC.C010.01.HNZ__20191015T053312Z__20191015T054042Z.mseed,13.52,0.29,3.30,0.39,nan,nan,nan,nan,nan,51.76325,0.21671,51.76325,0.21671,nan,nan,4.83613240E+00,1.11545940E+00,4.93179590E+00,5.13799310E+00,5.43160480E+00,8.80992000E+00,1.80196160E+01,1.42100170E+01,7.82302120E+00,6.25924380E+00,3.43155540E+00,3.74094140E+00,3.02696170E+00,2.61881740E+00,1.33371540E+00,8.16677650E-01,3.38470000E-01,1.88581910E-01,7.72680690E-02,4.63722660E-02,3.08505190E-02,1.46880740E-02,9.49298860E-03,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,IRIS-DMC,C018,NC.C018.HN,Christie Dr Martinez,37.97930,-122.11738,90.00,200,130.80,7.01,15.71,NC.C018.01.HNE__20191015T053312Z__20191015T054042Z.mseed,14.57,0.32,6.09,0.42,nan,nan,nan,nan,nan,75.00000,0.23227,75.00000,0.23227,nan,nan,9.03790360E+00,3.64960940E+00,9.05109190E+00,9.18151790E+00,9.17874340E+00,1.04975920E+01,1.34184390E+01,1.90326840E+01,1.88121590E+01,3.17649360E+01,3.54146680E+01,2.78388220E+01,1.30605820E+01,8.13017650E+00,2.98171820E+00,1.80148790E+00,5.95281940E-01,3.49916100E-01,1.58321830E-01,9.78783210E-02,7.15722360E-02,4.12710630E-02,2.86107820E-02,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,NCEDC,CRH,NC.CRH.HN,Round Hill Res,37.85884,-121.99264,259.00,100,327.23,10.45,17.66,NC.CRH..HNZ__20191015T053312Z__20191015T054042Z.mseed,16.40,0.36,9.52,0.43,nan,nan,nan,nan,nan,37.50000,0.12023,37.50000,0.12023,nan,nan,6.15488360E+00,2.39856130E+00,6.18575890E+00,6.24660510E+00,6.35696600E+00,6.54611300E+00,7.24698720E+00,9.28919360E+00,1.23919240E+01,1.61575800E+01,1.83467090E+01,1.42552370E+01,5.13259000E+00,2.86735270E+00,1.96033750E+00,1.75096190E+00,6.57965970E-01,4.01025480E-01,1.46729300E-01,8.04901060E-02,5.53732920E-02,2.96355050E-02,1.96295810E-02,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,NCEDC,CTA,NC.CTA.HN,Taylor,38.02691,-122.01599,152.00,100,200.07,10.51,17.61,NC.CTA..HNE__20191015T053312Z__20191015T054042Z.mseed,16.44,0.36,9.57,0.43,nan,nan,nan,nan,nan,36.60214,0.18223,36.60214,0.18223,nan,nan,4.44802440E+00,1.97760590E+00,4.50349570E+00,4.53416300E+00,4.58905600E+00,4.90733170E+00,5.59253800E+00,7.29884780E+00,1.30557910E+01,1.35861400E+01,1.03558370E+01,8.29854790E+00,5.61395990E+00,4.80425770E+00,3.52518450E+00,1.95166900E+00,5.94648270E-01,2.84521950E-01,1.35825460E-01,8.16616020E-02,5.23920830E-02,2.59093730E-02,1.70131470E-02,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP,NCEDC,1844,NP.1844.HN,Contra Costa FS 4,37.88520,-122.03217,62.00,200,339.57,6.25,15.37,NP.1844..HNE__20191015T053312Z__20191015T054042Z.mseed,14.23,0.31,5.34,0.42,nan,nan,nan,nan,nan,75.00000,0.16424,75.00000,0.16424,nan,nan,9.86519720E+00,3.03846260E+00,1.01310930E+01,1.00312540E+01,1.01931250E+01,1.03835760E+01,1.29247850E+01,1.19859520E+01,2.27429300E+01,3.35019940E+01,2.99818390E+01,1.78349930E+01,6.53011840E+00,3.84988550E+00,2.78051500E+00,1.92705630E+00,7.22967150E-01,4.17549680E-01,1.69766320E-01,1.08825690E-01,7.62575260E-02,4.01614170E-02,2.71656350E-02,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP,NCEDC,1847,NP.1847.HN,Contra C FS14 Martinez,38.01286,-122.13458,6.00,100,140.61,10.75,17.63,NP.1847.10.HNZ__20191015T053312Z__20191015T054042Z.mseed,16.58,0.36,9.81,0.43,nan,nan,nan,nan,nan,37.50000,0.11613,37.50000,0.11613,nan,nan,1.50556350E+01,5.44367610E+00,1.53890990E+01,1.56438940E+01,1.59279960E+01,1.91417550E+01,2.70141220E+01,3.67182500E+01,4.91480130E+01,3.40976420E+01,2.54662630E+01,2.02909680E+01,1.45929230E+01,2.07697060E+01,5.39999220E+00,2.82886330E+00,1.16357520E+00,5.52086660E-01,2.73174950E-01,1.62363920E-01,1.15059280E-01,6.40966520E-02,4.41442870E-02,nan
